Project Name,"Ableton User G"
Total Size,883867
Total Effort,5110.801642

Overall,Schedule (%),Schedule (Months),Effort (%),Effort,Staff
Plans And Requirements,22.310290%,12.366542,7.000000%,357.756115,28.929357
Product Design,27.155145%,15.052034,17.000000%,868.836279,57.722184
Programming,43.379420%,24.045112,54.534565%,2787.153426,115.913515
Integration and Test,29.465435%,16.332623,28.465435%,1454.811937,89.073995

EFFORT,Plans and Requirements,Product Design,Programming,Integration and Test,PERSONNEL,Plans and Requirements,Product Design,Programming,Integration and Test,EFFORT (%),Plans and Requirements,Product Design,Programming,Integration and Test
Requirements Analysis,160.435211,108.604535,111.486137,36.370298,Requirements Analysis,12.973328,7.215273,4.636541,2.226850,Requirements Analysis,44.844855%,12.500000%,4.000000%,2.500000%
Product Design,62.884841,356.222874,222.972274,72.740597,Product Design,5.085079,23.666095,9.273081,4.453700,Product Design,17.577573%,41.000000%,8.000000%,5.000000%
Programming,20.231627,117.966876,1574.741686,571.890795,Programming,1.635997,7.837271,65.491136,35.015246,Programming,5.655145%,13.577573%,56.500000%,39.310290%
Test Planning,14.587765,52.804155,155.455505,44.772893,Test Planning,1.179616,3.508108,6.465160,2.741317,Test Planning,4.077573%,6.077573%,5.577573%,3.077573%
Verification and Validation,27.109229,65.836699,239.070107,411.235798,Verification and Validation,2.192143,4.373940,9.942566,25.178798,Verification and Validation,7.577573%,7.577573%,8.577573%,28.267282%
Project Office,44.164473,85.535671,165.067139,100.708301,Project Office,3.571287,5.682665,6.864894,6.166083,Project Office,12.344855%,9.844855%,5.922427%,6.922427%
CM/QA,10.455163,21.046928,179.002907,115.256420,CM/QA,0.845439,1.398278,7.444461,7.056823,CM/QA,2.922427%,2.422427%,6.422427%,7.922427%
Manuals,17.887806,60.818540,139.357671,101.836836,Manuals,1.446468,4.040553,5.795676,6.235180,Manuals,5.000000%,7.000000%,5.000000%,7.000000%


Module Name,"TestVST"
Total Size,13132
Total Effort,75.933423

Overall,Schedule (%),Schedule (Months),Effort (%),Effort,Staff
Plans And Requirements,22.310290%,12.366542,7.000000%,5.315340,0.429816
Product Design,27.155145%,15.052034,17.000000%,12.908682,0.857604
Programming,43.379420%,24.045112,54.534565%,41.409962,1.722178
Integration and Test,29.465435%,16.332623,28.465435%,21.614780,1.323411

EFFORT,Plans and Requirements,Product Design,Programming,Integration and Test,PERSONNEL,Plans and Requirements,Product Design,Programming,Integration and Test,EFFORT (%),Plans and Requirements,Product Design,Programming,Integration and Test
Requirements Analysis,2.383656,1.613585,1.656398,0.540369,Requirements Analysis,0.192750,0.107200,0.068887,0.033085,Requirements Analysis,44.844855%,12.500000%,4.000000%,2.500000%
Product Design,0.934308,5.292560,3.312797,1.080739,Product Design,0.075551,0.351618,0.137774,0.066171,Product Design,17.577573%,41.000000%,8.000000%,5.000000%
Programming,0.300590,1.752686,23.396628,8.496833,Programming,0.024307,0.116442,0.973031,0.520237,Programming,5.655145%,13.577573%,56.500000%,39.310290%
Test Planning,0.216737,0.784535,2.309671,0.665211,Test Planning,0.017526,0.052121,0.096056,0.040729,Test Planning,4.077573%,6.077573%,5.577573%,3.077573%
Verification and Validation,0.402774,0.978165,3.551970,6.109911,Verification and Validation,0.032570,0.064986,0.147721,0.374092,Verification and Validation,7.577573%,7.577573%,8.577573%,28.267282%
Project Office,0.656171,1.270841,2.452475,1.496267,Project Office,0.053060,0.084430,0.101995,0.091612,Project Office,12.344855%,9.844855%,5.922427%,6.922427%
CM/QA,0.155337,0.312703,2.659525,1.712415,CM/QA,0.012561,0.020775,0.110606,0.104846,CM/QA,2.922427%,2.422427%,6.422427%,7.922427%
